,,,,,accuracy,accuracy,accuracy,macro_f1,macro_f1,macro_f1,nll,nll,nll,brier,brier,brier,ece,ece,ece,adaptive_ece,adaptive_ece,adaptive_ece,aurc,aurc,aurc
,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
mask_name,geometry,lidar_drop_rate,mmwave_drop_rate,method,,,,,,,,,,,,,,,,,,,,,
lidar_mmwave,azimuth_sector,0.25,0.9,uncalibrated,0.3495930315579038,0.004050726063150711,5,0.38464625308020467,0.005901737955722411,5,3.523090163500406,0.022159287457647104,5,0.9716886933903014,0.005118640354197131,5,0.3725656848933645,0.005741796704078432,5,0.3725656848933645,0.005741796704078364,5,0.4700335644763067,0.003650179333714876,5
lidar_mmwave,azimuth_sector,0.5,0.0,clean_global_ts,0.7303441382264744,0.0018219777704111654,5,0.7941012438938376,0.0014766997684171794,5,1.0084895061523984,0.011298904121267944,5,0.38279126036203504,0.004173169211819858,5,0.10130019118722808,0.0035388464552233126,5,0.10245538978097941,0.0038015251802891205,5,0.071422937816279,0.001306170605747101,5
lidar_mmwave,azimuth_sector,0.5,0.0,pooled_global_ts,0.7303441382264744,0.0018219777704111654,5,0.7941012438938376,0.0014766997684171794,5,1.0368761232743506,0.005984316407033809,5,0.3937776973765775,0.0024232209362848225,5,0.16088179882972548,0.00256978772627933,5,0.16083666154503423,0.00261850507766368,5,0.07095040586544865,0.0013943135832325897,5
lidar_mmwave,azimuth_sector,0.5,0.0,quality_aware_ts,0.7303441382264744,0.0018219777704111654,5,0.7941012438938376,0.0014766997684171794,5,0.9936512896166046,0.014241021728057546,5,0.3716563594641631,0.004202075234982447,5,0.0693263555710836,0.0031571748236526856,5,0.06857438543120131,0.0030804880922114717,5,0.07511227571549237,0.0013040623665587442,5
lidar_mmwave,azimuth_sector,0.5,0.0,severity_oracle_ts,0.7303441382264744,0.0018219777704111654,5,0.7941012438938376,0.0014766997684171794,5,0.9413290809900777,0.009207724273396656,5,0.36831581867009694,0.0033247697760996754,5,0.06727403694716852,0.004588354950304346,5,0.06769248749432734,0.004577981174198802,5,0.07099791870491509,0.001294665635620746,5
lidar_mmwave,azimuth_sector,0.5,0.0,uncalibrated,0.7303441382264744,0.0018219777704111654,5,0.7941012438938376,0.0014766997684171794,5,1.151736634848627,0.014481793393115687,5,0.40434620979682545,0.004822747592691648,5,0.14038707372100828,0.003374884380138855,5,0.1402515413902709,0.0031850549298356647,5,0.07207518248618958,0.0013326361686691762,5
lidar_mmwave,azimuth_sector,0.5,0.25,clean_global_ts,0.5862344709410253,0.003820425372560774,5,0.654295588125253,0.002806708696748251,5,1.6853006611095633,0.010717228936200121,5,0.583957441494176,0.004233453526775562,5,0.1801985525140501,0.003944165056438552,5,0.1804219443127202,0.004068239597008046,5,0.1632865021414163,0.00264341472884755,5
lidar_mmwave,azimuth_sector,0.5,0.25,pooled_global_ts,0.5862344709410253,0.003820425372560774,5,0.654295588125253,0.002806708696748251,5,1.4956346898165553,0.006802326123623331,5,0.5493285431365308,0.0024853860538069108,5,0.10589045911750028,0.0027679831588970165,5,0.10607189121582347,0.0031324887153283704,5,0.16231659561071454,0.002493067773969846,5
lidar_mmwave,azimuth_sector,0.5,0.25,quality_aware_ts,0.5862344709410253,0.003820425372560774,5,0.654295588125253,0.002806708696748251,5,1.4940574238547288,0.010003207859479644,5,0.5402286596352901,0.0029628377629290306,5,0.08551997637916398,0.0036595787936874458,5,0.08511382169690125,0.003777550598937878,5,0.16377600812610602,0.0025653782493606303,5
lidar_mmwave,azimuth_sector,0.5,0.25,severity_oracle_ts,0.5862344709410253,0.003820425372560774,5,0.654295588125253,0.002806708696748251,5,1.4610833480646825,0.007024609987852682,5,0.5381275064631098,0.0026356429861233944,5,0.08266133818791783,0.003812120085520256,5,0.08408989816791175,0.0036461353431999285,5,0.16202949986852724,0.0025294222926021525,5
