geometry,lidar_drop_rate,mmwave_drop_rate,pooled_accuracy,pooled_accuracy,pooled_accuracy,quality_aware_accuracy,quality_aware_accuracy,quality_aware_accuracy,quality_minus_pooled_accuracy,quality_minus_pooled_accuracy,quality_minus_pooled_accuracy,pooled_macro_f1,pooled_macro_f1,pooled_macro_f1,quality_aware_macro_f1,quality_aware_macro_f1,quality_aware_macro_f1,quality_minus_pooled_macro_f1,quality_minus_pooled_macro_f1,quality_minus_pooled_macro_f1,pooled_nll,pooled_nll,pooled_nll,quality_aware_nll,quality_aware_nll,quality_aware_nll,quality_minus_pooled_nll,quality_minus_pooled_nll,quality_minus_pooled_nll,pooled_brier,pooled_brier,pooled_brier,quality_aware_brier,quality_aware_brier,quality_aware_brier,quality_minus_pooled_brier,quality_minus_pooled_brier,quality_minus_pooled_brier,pooled_ece,pooled_ece,pooled_ece,quality_aware_ece,quality_aware_ece,quality_aware_ece,quality_minus_pooled_ece,quality_minus_pooled_ece,quality_minus_pooled_ece,pooled_adaptive_ece,pooled_adaptive_ece,pooled_adaptive_ece,quality_aware_adaptive_ece,quality_aware_adaptive_ece,quality_aware_adaptive_ece,quality_minus_pooled_adaptive_ece,quality_minus_pooled_adaptive_ece,quality_minus_pooled_adaptive_ece,pooled_aurc,pooled_aurc,pooled_aurc,quality_aware_aurc,quality_aware_aurc,quality_aware_aurc,quality_minus_pooled_aurc,quality_minus_pooled_aurc,quality_minus_pooled_aurc
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
azimuth_sector,0.5,0.0,0.7303441382264744,0.0018219777704111654,5,0.7303441382264744,0.0018219777704111654,5,0.0,0.0,5,0.7941012438938376,0.0014766997684171794,5,0.7941012438938376,0.0014766997684171794,5,0.0,0.0,5,1.0368761232743506,0.005984316407033981,5,0.9936512896166046,0.014241021728057546,5,-0.043224833657746056,0.009446115393876754,5,0.3937776973765774,0.0024232209362848134,5,0.3716563594641631,0.004202075234982437,5,-0.022121337912414364,0.003274389476364348,5,0.16088179882972545,0.0025697877262793496,5,0.0693263555710836,0.003157174823652695,5,-0.09155544325864184,0.00569930995920887,5,0.16083666154503418,0.002618505077663696,5,0.06857438543120126,0.0030804880922114873,5,-0.09226227611383292,0.005697687276856542,5,0.07095040586544861,0.0013943135832325804,5,0.07511227571549234,0.0013040623665587358,5,0.004161869850043737,0.0009745008485535168,5
azimuth_sector,0.5,0.25,0.5862344709410253,0.003820425372560774,5,0.5862344709410253,0.003820425372560774,5,0.0,0.0,5,0.654295588125253,0.002806708696748251,5,0.654295588125253,0.002806708696748251,5,0.0,0.0,5,1.4956346898165553,0.006802326123623331,5,1.4940574238547288,0.010003207859479644,5,-0.0015772659618264128,0.0047086972070901085,5,0.5493285431365308,0.0024853860538069108,5,0.5402286596352901,0.0029628377629290306,5,-0.009099883501240668,0.0015301591118949366,5,0.10589045911750021,0.0027679831588970404,5,0.08551997637916395,0.0036595787936874497,5,-0.02037048273833626,0.006328467262881566,5,0.10607189121582342,0.003132488715328357,5,0.08511382169690118,0.0037775505989378687,5,-0.020958069518922238,0.006808235398254924,5,0.1623165956107145,0.002493067773969854,5,0.163776008126106,0.002565378249360623,5,0.0014594125153914784,0.0011213588072661747,5
azimuth_sector,0.5,0.5,0.3907182636013137,0.0033691976127955526,5,0.3907182636013137,0.0033691976127955526,5,0.0,0.0,5,0.45957934702347075,0.0030429190153950826,5,0.45957934702347075,0.0030429190153950826,5,0.0,0.0,5,2.170105715502416,0.014341482121928116,5,2.181162578315711,0.015288563845031423,5,0.011056862813294899,0.0036236796622868914,5,0.749677064559013,0.003918854746281996,5,0.7461550082996806,0.004220639730491096,5,-0.0035220562593323733,0.001870053924601685,5,0.0641507018312434,0.0024131779177015973,5,0.09555173714876944,0.002020344124164455,5,0.03140103531752604,0.0033053533299002825,5,0.06566844309872147,0.0016730663996802077,5,0.09555114100080116,0.0020215284830088507,5,0.02988269790207968,0.0023663187702042524,5,0.37068595616624933,0.004836724492012174,5,0.35645753116755197,0.004246808738047809,5,-0.014228424998697342,0.0030045562907523174,5
azimuth_sector,0.5,0.75,0.19471655004997854,0.004763480943497009,5,0.19471655004997854,0.004763480943497009,5,0.0,0.0,5,0.24809570435912107,0.0049947666131432275,5,0.24809570435912107,0.0049947666131432275,5,0.0,0.0,5,3.0017888592648156,0.021091733238482034,5,2.8976875235477686,0.01740453130623611,5,-0.10410133571704705,0.003920826461323212,5,0.9404266741430906,0.0038762533843684967,5,0.9136342428461294,0.0029251063819696666,5,-0.026792431296961117,0.0010535154509963452,5,0.1370944995617212,0.0035256485004959448,5,0.08017036363004439,0.002919369772575958,5,-0.056924135931676834,0.0012258768491462296,5,0.13683998893492116,0.0035044336270951162,5,0.07991104600139312,0.0031156375265388105,5,-0.056928942933528036,0.0010479766462021423,5,0.6921557055107108,0.009057479203990654,5,0.6651747158202023,0.007986107931887082,5,-0.02698098969050864,0.0018293635971271367,5
azimuth_sector,0.5,0.9,0.14656575753248605,0.004213811303937874,5,0.14656575753248605,0.004213811303937874,5,0.0,0.0,5,0.1886844035742335,0.005076580857816865,5,0.1886844035742335,0.005076580857816865,5,0.0,0.0,5,3.2837616851051807,0.018437473098285424,5,3.0470341651430433,0.012346346042270516,5,-0.23672751996213703,0.006380453998568447,5,0.9789480219017245,0.003621042560887761,5,0.9329051180999505,0.0020969868002379626,5,-0.046042903801774004,0.0015708544884048463,5,0.1649226331393479,0.004093212456380672,5,0.04277740895751116,0.0032477295281529745,5,-0.12214522418183675,0.004003674519234321,5,0.16462274848632305,0.0039527345006674175,5,0.04287891965879096,0.004280087892923364,5,-0.1217438288275321,0.004674022612027864,5,0.7649703077145877,0.007234137252762395,5,0.7426679854891842,0.008101131965913364,5,-0.022302322225403494,0.001940856979406757,5
azimuth_sector,0.75,0.0,0.6828216478652006,0.005613170361415864,5,0.6828216478652006,0.005613170361415864,5,0.0,0.0,5,0.7510696383957318,0.005587263083320113,5,0.7510696383957318,0.005587263083320113,5,0.0,0.0,5,1.2752193546146424,0.005564921950091662,5,1.1470721402750956,0.007109528271632696,5,-0.12814721433954673,0.0027145037386242885,5,0.47217579544270727,0.002521153318573634,5,0.4316093419474618,0.0037656092014526853,5,-0.04056645349524542,0.0016802907064701392,5,0.19407814914692334,0.005017067586700139,5,0.0403847513881755,0.004627684125723917,5,-0.15369339775874785,0.0005821459452049095,5,0.19382355460603268,0.005169374697912399,5,0.04153571178283436,0.0048332693508058525,5,-0.15228784282319835,0.0009936691714354199,5,0.10246421686132726,0.0022012960290005816,5,0.10729561991684818,0.0024638616930883622,5,0.004831403055520922,0.0007340528814651053,5
azimuth_sector,0.75,0.25,0.5184063972583178,0.004857791271641814,5,0.5184063972583178,0.004857791271641814,5,0.0,0.0,5,0.6004751561256206,0.005649934146040725,5,0.6004751561256206,0.005649934146040725,5,0.0,0.0,5,1.8124762758423507,0.0058818049855299806,5,1.7422253124696816,0.0080505660171281,5,-0.0702509633726692,0.0032710782047915186,5,0.6343475082564727,0.0017881672611243784,5,0.6101835329191829,0.002466006951893728,5,-0.024163975337289756,0.0011478567774725634,5,0.1259454534865101,0.003958332778242274,5,0.037691598570181076,0.0040699549173771644,5,-0.08825385491632902,0.0005996179305306429,5,0.12648621428274326,0.004659752423397665,5,0.0383055747214395,0.00441873846190101,5,-0.08818063956130376,0.0020239722319227984,5,0.22420821206744748,0.002927864676110829,5,0.225081586595955,0.002291329585073503,5,0.0008733745285075201,0.0012824616973705779,5
azimuth_sector,0.75,0.5,0.2833642724546623,0.004904786068645438,5,0.2833642724546623,0.004904786068645438,5,0.0,0.0,5,0.36894124184872373,0.006329279464061518,5,0.36894124184872373,0.006329279464061518,5,0.0,0.0,5,2.6349326354112934,0.014565307361313609,5,2.584347193542773,0.015847101672527102,5,-0.05058544186852041,0.0020738425867965755,5,0.8446177889390754,0.003769901743902451,5,0.8343125318014053,0.004140774623018735,5,-0.01030525713766992,0.00121018001438735,5,0.03913346116036104,0.002922917141159115,5,0.02264955119518606,0.00372034706934951,5,-0.01648390996517498,0.0022979063765286244,5,0.0389399707893856,0.0030301203114828346,5,0.02289131348767462,0.0034040981109471702,5,-0.01604865730171098,0.000636225495844942,5,0.5237439892843934,0.007695412760931905,5,0.5077916578440328,0.008725373454228988,5,-0.01595233144036068,0.002939284822576578,5
azimuth_sector,0.75,0.75,0.06631443666999852,0.0045219216824098,5,0.06631443666999852,0.0045219216824098,5,0.0,0.0,5,0.10959661320570772,0.007466614053637131,5,0.10959661320570772,0.007466614053637131,5,0.0,0.0,5,3.7028747146775784,0.015181677740572405,5,3.4206257224457666,0.01196225191381151,5,-0.2822489922318119,0.003388573686170015,5,1.0259610755286155,0.002797062397522929,5,0.9808664205453994,0.0019244869260954362,5,-0.04509465498321623,0.0010438903418817467,5,0.19432500627425953,0.004855100336640983,5,0.10449410409004381,0.004417278822967321,5,-0.08983090218421572,0.0009764260488720744,5,0.19432500627425958,0.004855100336641007,5,0.10437333648830127,0.004435041978468162,5,-0.0899516697859583,0.0009101857913507863,5,0.901843907894375,0.006595188582392232,5,0.8949768294717023,0.007539723210010718,5,-0.006867078422672734,0.0016127905287862262,5
azimuth_sector,0.75,0.9,0.03464229615878904,0.0030884884559740323,5,0.03464229615878904,0.0030884884559740323,5,0.0,0.0,5,0.06057489607502244,0.005562985317157875,5,0.06057489607502244,0.005562985317157875,5,0.0,0.0,5,4.050862698214908,0.013367973792575228,5,3.5191417528094844,0.007735877146367634,5,-0.5317209454054228,0.005985637915528018,5,1.048933652312186,0.002284196581471488,5,0.980525606802446,0.0008286911838878705,5,-0.06840804550974,0.001661596706841632,5,0.21164905492592773,0.003386719675758584,5,0.08185926227030708,0.0030275300980540727,5,-0.12978979265562066,0.0012962441742537538,5,0.21164905492592773,0.0033867196757585913,5,0.08182046218017189,0.002992664119620615,5,-0.12982859274575587,0.0013197617110725084,5,0.9427683418116043,0.006631626201961688,5,0.9373627298563308,0.006852438467858613,5,-0.005405611955273448,0.0009053665344582427,5
azimuth_sector,0.9,0.0,0.5806939882907326,0.004089801495752175,5,0.5806939882907326,0.004089801495752175,5,0.0,0.0,5,0.6474290389245676,0.004194088555811794,5,0.6474290389245676,0.004194088555811794,5,0.0,0.0,5,1.5254491232018483,0.008295364726567367,5,1.4581851731274798,0.00919170132924616,5,-0.06726395007436863,0.0009736288808651609,5,0.5712123639403176,0.0030020815095750625,5,0.5536833227954607,0.003611555333917462,5,-0.017529041144856938,0.00063201089326921,5,0.14484538513680306,0.0035140560798245803,5,0.08292991112004781,0.0038641487131894697,5,-0.061915474016755255,0.0011472642973452936,5,0.14489166428306077,0.0034789699555269693,5,0.0829319729163961,0.0038555326610089607,5,-0.06195969136666468,0.0012283086742387545,5,0.1743153774841321,0.00335447385274967,5,0.18404813168550288,0.004051064395940334,5,0.009732754201370819,0.0011389083470168281,5
azimuth_sector,0.9,0.25,0.4255890332714551,0.0017448005019684327,5,0.4255890332714551,0.0017448005019684327,5,0.0,0.0,5,0.49487187871780736,0.0034639025633792825,5,0.49487187871780736,0.0034639025633792825,5,0.0,0.0,5,2.03397158539932,0.0063560352246774246,5,2.0041877440926887,0.006214054839714534,5,-0.02978384130663092,0.0015244344333100247,5,0.7156623018457278,0.0024921084316982026,5,0.7107396159439862,0.0030073578084640028,5,-0.0049226859017415855,0.0006206393181301974,5,0.06794894522422174,0.0058768383836334415,5,0.05911355504456352,0.003264905820382005,5,-0.008835390179658217,0.005017402457106535,5,0.07025092050485335,0.00632385341626208,5,0.06136257741365554,0.0037325741943185957,5,-0.008888343091197803,0.004046698533754246,5,0.3270746742992732,0.005578804267140081,5,0.33158646569986006,0.005857878986362385,5,0.004511791400586884,0.0006314215092119096,5
azimuth_sector,0.9,0.5,0.23472797372554619,0.004773956958314945,5,0.23472797372554619,0.004773956958314945,5,0.0,0.0,5,0.29640015706983414,0.0047271081338405106,5,0.29640015706983414,0.0047271081338405106,5,0.0,0.0,5,2.7547086728944175,0.013617500349093786,5,2.6777112916695165,0.01297582980546228,5,-0.07699738122490114,0.001088300635160881,5,0.8853544941504892,0.004061589847025691,5,0.8695879185283012,0.003936463618656266,5,-0.015766575622188105,0.0004205249801747671,5,0.084173245386039,0.004344277143207735,5,0.03329300557106906,0.004779184384579058,5,-0.05088023981496994,0.00800642863012573,5,0.08377851648354287,0.004202507151728819,5,0.03526202379035022,0.004980490792943713,5,-0.04851649269319265,0.00711695580599019,5,0.606258784139165,0.009913017197046086,5,0.5894181692427699,0.01130924426808607,5,-0.01684061489639512,0.001960930637556694,5
azimuth_sector,0.9,0.75,0.07328287876624298,0.00643881465963863,5,0.07328287876624298,0.00643881465963863,5,0.0,0.0,5,0.10510875142854889,0.008903194301717966,5,0.10510875142854889,0.008903194301717966,5,0.0,0.0,5,3.6365228351177854,0.01429874535449362,5,3.2953085693463415,0.009263474860215176,5,-0.341214265771444,0.005097927558207629,5,1.0244340980667062,0.004332077450883119,5,0.9659988134297521,0.0021211199369755352,5,-0.05843528463695409,0.0022317703249813098,5,0.20015204351576338,0.007217648327000806,5,0.07448041220621712,0.006555740831152533,5,-0.12567163130954626,0.0007695023305575011,5,0.20013704960209547,0.007200788223644071,5,0.07429130811963111,0.00667877966847286,5,-0.12584574148246438,0.0007068940429173302,5,0.9039383668766712,0.00991570207757528,5,0.8893570323523402,0.011251145829658443,5,-0.014581334524330946,0.0015751400874799808,5
